datetime,sales,time,weekday,holiday
2018-05-01 16:30:00,0,990,4,0
2018-05-01 16:45:00,0,1005,4,0
2018-05-01 17:00:00,0,1020,4,0
2018-05-01 17:15:00,0,1035,4,0
2018-05-01 17:30:00,0,1050,4,0
2018-05-01 17:45:00,0,1065,4,0
2018-05-01 18:00:00,0,1080,4,0
2018-05-01 18:15:00,0,1095,4,0
2018-05-01 18:30:00,0,1110,4,0
2018-05-01 18:45:00,0,1125,4,0
2018-05-01 19:00:00,0,1140,4,0
2018-05-01 19:15:00,0,1155,4,0
2018-05-01 19:30:00,0,1170,4,0
2018-05-01 19:45:00,0,1185,4,0
2018-05-01 20:00:00,0,1200,4,0
2018-05-01 20:15:00,0,1215,4,0
2018-05-01 20:30:00,0,1230,4,0
2018-05-01 20:45:00,0,1245,4,0
2018-05-01 21:00:00,0,1260,4,0
2018-05-01 21:15:00,0,1275,4,0
2018-05-01 21:30:00,0,1290,4,0
2018-05-01 21:45:00,0,1305,4,0
2018-05-01 22:00:00,0,1320,4,0
2018-05-01 22:15:00,0,1335,4,0
2018-05-01 22:30:00,0,1350,4,0
2018-05-01 22:45:00,0,1365,4,0
2018-05-01 23:00:00,0,1380,4,0
2018-05-01 23:15:00,0,1395,4,0
2018-05-01 23:30:00,0,1410,4,0
2018-05-01 23:45:00,0,1425,4,0
2018-06-01 00:00:00,0,0,5,0
2018-06-01 00:15:00,0,15,5,0
2018-06-01 00:30:00,0,30,5,0
2018-06-01 00:45:00,0,45,5,0
2018-06-01 01:00:00,0,60,5,0
2018-06-01 01:15:00,0,75,5,0
2018-06-01 01:30:00,0,90,5,0
2018-06-01 01:45:00,0,105,5,0
2018-06-01 02:00:00,0,120,5,0
2018-06-01 02:15:00,0,135,5,0
2018-06-01 02:30:00,0,150,5,0
2018-06-01 02:45:00,0,165,5,0
2018-06-01 03:00:00,0,180,5,0
2018-06-01 03:15:00,0,195,5,0
2018-06-01 03:30:00,0,210,5,0
2018-06-01 03:45:00,0,225,5,0
2018-06-01 04:00:00,0,240,5,0
2018-06-01 04:15:00,0,255,5,0
2018-06-01 04:30:00,0,270,5,0
2018-06-01 04:45:00,0,285,5,0
